n_arms,n_steps,optimistic_init,variant,environment_seed,final_avg_reward,total_regret
10,100,True,decay=0.99,20019,0.74,12.410008990063762
10,100,True,decay=0.99,20020,0.84,8.097229347391734
10,100,True,decay=0.99,20021,0.79,15.597261675390865
10,100,True,decay=0.99,20022,0.74,8.798262777442032
10,100,True,decay=0.99,20023,0.82,11.540512915153135
10,100,True,decay=0.99,20024,0.87,8.32116559374292
10,100,True,decay=0.99,20025,0.56,23.97259582604839
10,100,True,decay=0.99,20026,0.83,8.924181332329596
10,100,True,decay=0.99,20027,0.39,11.133869342155602
10,100,True,decay=0.99,20028,0.86,10.71200948238733
10,100,True,decay=0.99,20029,0.87,10.508839974727413
10,100,True,decay=0.999,20000,0.5,35.702837598065436
10,100,True,decay=0.999,20001,0.87,10.443800896309961
10,100,True,decay=0.999,20002,0.85,11.847667777383489
10,100,True,decay=0.999,20003,0.55,28.62476069096046
10,100,True,decay=0.999,20004,0.71,8.375493752271698
10,100,True,decay=0.999,20005,0.86,10.941058029687513
10,100,True,decay=0.999,20006,0.29,56.26687036505738
10,100,True,decay=0.999,20007,0.87,10.87072469061892
10,100,True,decay=0.999,20008,0.86,7.707945037839957
10,100,True,decay=0.999,20009,0.82,10.016960930880105
10,100,True,decay=0.999,20010,0.86,10.854788596728348
10,100,True,decay=0.999,20011,0.59,30.98284896612531
10,100,True,decay=0.999,20012,0.86,13.62751615856776
10,100,True,decay=0.999,20013,0.54,19.973659561446567
10,100,True,decay=0.999,20014,0.87,10.725791822834655
10,100,True,decay=0.999,20015,0.81,11.358244987237805
10,100,True,decay=0.999,20016,0.86,12.048978813215106
10,100,True,decay=0.999,20017,0.86,9.131068125650105
10,100,True,decay=0.999,20018,0.78,15.321353878702684
10,100,True,decay=0.999,20019,0.72,13.915867105206472
10,100,True,decay=0.999,20020,0.84,8.582890029802565
10,100,True,decay=0.999,20021,0.79,15.736070906604033
10,100,True,decay=0.999,20022,0.7,10.744547439705018
10,100,True,decay=0.999,20023,0.82,12.460488558845224
10,100,True,decay=0.999,20024,0.83,12.963512157653257
10,100,True,decay=0.999,20025,0.54,24.250444306486866
10,100,True,decay=0.999,20026,0.84,9.269482425188553
10,100,True,decay=0.999,20027,0.31,16.203732454474018
10,100,True,decay=0.999,20028,0.83,13.627805952828558
10,100,True,decay=0.999,20029,0.85,13.381331695843471
10,100,True,decay=0.9999,20000,0.5,35.702837598065436
10,100,True,decay=0.9999,20001,0.84,11.22883666389369
10,100,True,decay=0.9999,20002,0.85,11.847667777383489
10,100,True,decay=0.9999,20003,0.55,28.62476069096046
10,100,True,decay=0.9999,20004,0.71,8.375493752271698
10,100,True,decay=0.9999,20005,0.86,10.941058029687513
10,100,True,decay=0.9999,20006,0.29,56.26687036505738
10,100,True,decay=0.9999,20007,0.88,12.247696221104706
10,100,True,decay=0.9999,20008,0.86,7.707945037839957
10,100,True,decay=0.9999,20009,0.82,10.016960930880105
10,100,True,decay=0.9999,20010,0.86,10.854788596728348
10,100,True,decay=0.9999,20011,0.59,31.528174539913895
10,100,True,decay=0.9999,20012,0.86,14.116761522546886
10,100,True,decay=0.9999,20013,0.54,19.973659561446567
10,100,True,decay=0.9999,20014,0.87,10.725791822834655
10,100,True,decay=0.9999,20015,0.81,11.358244987237805
10,100,True,decay=0.9999,20016,0.86,12.048978813215106
10,100,True,decay=0.9999,20017,0.86,9.7232638946037
10,100,True,decay=0.9999,20018,0.78,15.321353878702684
10,100,True,decay=0.9999,20019,0.74,12.13003436254056
10,100,True,decay=0.9999,20020,0.84,8.582890029802565
10,100,True,decay=0.9999,20021,0.78,16.187521755067937
10,100,True,decay=0.9999,20022,0.7,10.744547439705018
10,100,True,decay=0.9999,20023,0.82,12.460488558845224
10,100,True,decay=0.9999,20024,0.83,12.963512157653257
10,100,True,decay=0.9999,20025,0.54,24.250444306486866
10,100,True,decay=0.9999,20026,0.84,9.269482425188553
10,100,True,decay=0.9999,20027,0.41,9.668285915158322
10,100,True,decay=0.9999,20028,0.83,13.627805952828558
10,100,True,decay=0.9999,20029,0.85,13.381331695843471
10,100,True,decay=0.99999,20000,0.5,35.702837598065436
10,100,True,decay=0.99999,20001,0.84,11.22883666389369
10,100,True,decay=0.99999,20002,0.85,11.847667777383489
10,100,True,decay=0.99999,20003,0.54,28.841094147038735
10,100,True,decay=0.99999,20004,0.71,8.375493752271698
10,100,True,decay=0.99999,20005,0.86,10.941058029687513
10,100,True,decay=0.99999,20006,0.29,56.26687036505738
10,100,True,decay=0.99999,20007,0.88,12.247696221104706
10,100,True,decay=0.99999,20008,0.86,7.707945037839957
10,100,True,decay=0.99999,20009,0.82,10.016960930880105
10,100,True,decay=0.99999,20010,0.86,10.854788596728348
10,100,True,decay=0.99999,20011,0.59,31.528174539913895
10,100,True,decay=0.99999,20012,0.86,14.129166157686212
10,100,True,decay=0.99999,20013,0.54,19.973659561446567
10,100,True,decay=0.99999,20014,0.87,10.725791822834655
10,100,True,decay=0.99999,20015,0.81,11.358244987237805
10,100,True,decay=0.99999,20016,0.86,12.048978813215106
10,100,True,decay=0.99999,20017,0.86,9.7232638946037
10,100,True,decay=0.99999,20018,0.78,15.321353878702684
10,100,True,decay=0.99999,20019,0.74,12.13003436254056
10,100,True,decay=0.99999,20020,0.84,8.582890029802565
10,100,True,decay=0.99999,20021,0.78,16.187521755067937
