suite,algorithm,environment_seed,final_avg_reward,total_regret
small-gap,ucb(c=0.003),30001,0.496,25.0448291253965
small-gap,ucb(c=0.003),30002,0.5135,29.4705895123439
small-gap,ucb(c=0.003),30003,0.5015,21.176868391533056
small-gap,ucb(c=0.003),30004,0.508,26.078288102371214
small-gap,ucb(c=0.003),30005,0.505,27.385289933437676
small-gap,ucb(c=0.003),30006,0.4965,24.901350274593334
small-gap,ucb(c=0.003),30007,0.5,32.07582292662662
small-gap,ucb(c=0.003),30008,0.486,27.67470878090485
small-gap,ucb(c=0.003),30009,0.5,30.848336422872357
small-gap,ucb(c=0.003),30010,0.486,34.37193310223369
small-gap,ucb(c=0.003),30011,0.5015,21.280803688927143
small-gap,ucb(c=0.003),30012,0.4965,43.14130254197418
small-gap,ucb(c=0.003),30013,0.498,33.41784463445989
small-gap,ucb(c=0.003),30014,0.4905,26.611455573267357
small-gap,ucb(c=0.003),30015,0.4865,35.23501485007513
small-gap,ucb(c=0.003),30016,0.5255,18.792846682319766
small-gap,ucb(c=0.003),30017,0.4985,28.601190570386308
small-gap,ucb(c=0.003),30018,0.505,30.616444131257744
small-gap,ucb(c=0.003),30019,0.521,16.368987540142506
small-gap,ucb(c=0.003),30020,0.499,17.017752235498296
small-gap,ucb(c=0.003),30021,0.4935,21.58323855554779
small-gap,ucb(c=0.003),30022,0.501,34.68633291504586
small-gap,ucb(c=0.003),30023,0.516,21.503207983657944
small-gap,ucb(c=0.003),30024,0.508,19.776617993341713
small-gap,ucb(c=0.003),30025,0.5045,23.494544540490693
small-gap,ucb(c=0.003),30026,0.5025,44.32884206008428
small-gap,ucb(c=0.003),30027,0.4905,34.140766219339305
small-gap,ucb(c=0.003),30028,0.4765,32.69381485905056
small-gap,ucb(c=0.003),30029,0.5035,19.17539387403196
clustered,epsgreedy const,30000,0.709,175.16663105162175
clustered,epsgreedy const,30001,0.6925,149.48271280360254
clustered,epsgreedy const,30002,0.7455,139.1492824043927
clustered,epsgreedy const,30003,0.686,186.236236916992
clustered,epsgreedy const,30004,0.682,238.46138078255132
clustered,epsgreedy const,30005,0.7075,205.121019148959
clustered,epsgreedy const,30006,0.682,230.04452507729388
clustered,epsgreedy const,30007,0.7135,152.86203767620665
clustered,epsgreedy const,30008,0.6925,203.0104170498759
clustered,epsgreedy const,30009,0.6975,171.86690022083755
clustered,epsgreedy const,30010,0.67,218.5396337686213
clustered,epsgreedy const,30011,0.695,254.64765732364492
clustered,epsgreedy const,30012,0.734,113.89465499691096
clustered,epsgreedy const,30013,0.7215,164.859331083466
clustered,epsgreedy const,30014,0.6815,172.07131436934452
clustered,epsgreedy const,30015,0.7385,128.10394151531924
clustered,epsgreedy const,30016,0.7255,166.67625525232054
clustered,epsgreedy const,30017,0.7045,181.37931063060566
clustered,epsgreedy const,30018,0.725,156.41642910613078
clustered,epsgreedy const,30019,0.715,160.41446783213019
clustered,epsgreedy const,30020,0.671,282.83376308841406
clustered,epsgreedy const,30021,0.6925,165.53104816999112
clustered,epsgreedy const,30022,0.745,144.7061762325897
clustered,epsgreedy const,30023,0.717,150.31856692912334
clustered,epsgreedy const,30024,0.723,124.09069842096518
clustered,epsgreedy const,30025,0.7165,162.1157052652708
clustered,epsgreedy const,30026,0.749,139.6720838245811
clustered,epsgreedy const,30027,0.7,170.13938750673077
clustered,epsgreedy const,30028,0.6925,229.02086531051677
clustered,epsgreedy const,30029,0.7045,240.51589763221614
clustered,epsgreedy optimistic decay=0.90,30000,0.7435,105.62148017186263
clustered,epsgreedy optimistic decay=0.90,30001,0.7245,102.09221076526586
clustered,epsgreedy optimistic decay=0.90,30002,0.7675,86.30662317550903
clustered,epsgreedy optimistic decay=0.90,30003,0.717,121.3975598547908
clustered,epsgreedy optimistic decay=0.90,30004,0.7105,184.78955402555744
clustered,epsgreedy optimistic decay=0.90,30005,0.756,103.38210098382142
clustered,epsgreedy optimistic decay=0.90,30006,0.7035,170.54253286822788
clustered,epsgreedy optimistic decay=0.90,30007,0.736,121.63850571257845
clustered,epsgreedy optimistic decay=0.90,30008,0.7395,109.29535851621897
clustered,epsgreedy optimistic decay=0.90,30009,0.7425,77.80324133831812
clustered,epsgreedy optimistic decay=0.90,30010,0.721,123.62490174215955
clustered,epsgreedy optimistic decay=0.90,30011,0.7505,157.14529585918325
clustered,epsgreedy optimistic decay=0.90,30012,0.7115,138.6761711459229
clustered,epsgreedy optimistic decay=0.90,30013,0.749,94.27512582463251
clustered,epsgreedy optimistic decay=0.90,30014,0.733,86.5475714990491
clustered,epsgreedy optimistic decay=0.90,30015,0.7555,87.91379432441114
clustered,epsgreedy optimistic decay=0.90,30016,0.7455,132.50538235025337
clustered,epsgreedy optimistic decay=0.90,30017,0.722,138.80664692414294
clustered,epsgreedy optimistic decay=0.90,30018,0.737,138.49796848737114
clustered,epsgreedy optimistic decay=0.90,30019,0.7175,170.3879876145403
clustered,epsgreedy optimistic decay=0.90,30020,0.756,122.5616577699109
clustered,epsgreedy optimistic decay=0.90,30021,0.716,129.54452940605665
clustered,epsgreedy optimistic decay=0.90,30022,0.7365,150.2859465731501
clustered,epsgreedy optimistic decay=0.90,30023,0.7255,126.52031922061396
clustered,epsgreedy optimistic decay=0.90,30024,0.731,122.44992801737425
clustered,epsgreedy optimistic decay=0.90,30025,0.764,74.20110712173724
clustered,epsgreedy optimistic decay=0.90,30026,0.761,118.82146795039667
clustered,epsgreedy optimistic decay=0.90,30027,0.724,115.72546100647455
clustered,epsgreedy optimistic decay=0.90,30028,0.742,132.5857315247941
clustered,epsgreedy optimistic decay=0.90,30029,0.7825,81.58218205894951
clustered,"thompson Beta(5,5)",30000,0.675,239.64709402487696
clustered,"thompson Beta(5,5)",30001,0.642,261.99296527240233
clustered,"thompson Beta(5,5)",30002,0.6655,279.72334241997356
clustered,"thompson Beta(5,5)",30003,0.6525,238.75362763178248
clustered,"thompson Beta(5,5)",30004,0.6705,255.7936527378927
clustered,"thompson Beta(5,5)",30005,0.6655,296.66804869870435
clustered,"thompson Beta(5,5)",30006,0.653,282.91164265614077
clustered,"thompson Beta(5,5)",30007,0.6605,271.4942574475021
clustered,"thompson Beta(5,5)",30008,0.683,219.83918632008113
clustered,"thompson Beta(5,5)",30009,0.667,227.23457762380875
clustered,"thompson Beta(5,5)",30010,0.601,369.27904049974524
clustered,"thompson Beta(5,5)",30011,0.6515,330.34564845421755
