n_arms,n_steps,algorithm,environment_seed,final_avg_reward,total_regret
10,10000,epsgreedy optimistic decay=0.90,20023,0.9594,121.3695479266691
10,10000,epsgreedy optimistic decay=0.90,20024,0.9405,8.218633281640598
10,10000,epsgreedy optimistic decay=0.90,20025,0.6522,5.750312269907801
10,10000,epsgreedy optimistic decay=0.90,20026,0.9275,5.581010670399935
10,10000,epsgreedy optimistic decay=0.90,20027,0.3756,1413.8154092673121
10,10000,epsgreedy optimistic decay=0.90,20028,0.9836,7.564394986635206
10,10000,epsgreedy optimistic decay=0.90,20029,0.978,8.207578287119695
10,10000,"thompson Beta(5,5)",20000,0.9009,22.341378405833638
10,10000,"thompson Beta(5,5)",20001,0.9386,203.91659385850878
10,10000,"thompson Beta(5,5)",20002,0.9507,6.809999765721419
10,10000,"thompson Beta(5,5)",20003,0.863,28.53285057751146
10,10000,"thompson Beta(5,5)",20004,0.7878,51.66460670609467
10,10000,"thompson Beta(5,5)",20005,0.9944,10.668760550112225
10,10000,"thompson Beta(5,5)",20006,0.8957,22.303471929927003
10,10000,"thompson Beta(5,5)",20007,0.978,87.7222503293634
10,10000,"thompson Beta(5,5)",20008,0.9248,29.68950960213873
10,10000,"thompson Beta(5,5)",20009,0.9256,21.4628448346575
10,10000,"thompson Beta(5,5)",20010,0.9811,15.14423668169469
10,10000,"thompson Beta(5,5)",20011,0.8825,21.74472694909075
10,10000,"thompson Beta(5,5)",20012,0.9719,141.55834462032377
10,10000,"thompson Beta(5,5)",20013,0.798,49.12913069949186
10,10000,"thompson Beta(5,5)",20014,0.9853,18.036225618562355
10,10000,"thompson Beta(5,5)",20015,0.9002,22.483729254594436
10,10000,"thompson Beta(5,5)",20016,0.9693,13.070192007457436
10,10000,"thompson Beta(5,5)",20017,0.9717,10.214860479817157
10,10000,"thompson Beta(5,5)",20018,0.8676,44.53333088595241
10,10000,"thompson Beta(5,5)",20019,0.8395,27.189459927721867
10,10000,"thompson Beta(5,5)",20020,0.9479,10.481644110750986
10,10000,"thompson Beta(5,5)",20021,0.9254,19.004186259019434
10,10000,"thompson Beta(5,5)",20022,0.7556,90.40151173185764
10,10000,"thompson Beta(5,5)",20023,0.9595,120.87774205236609
10,10000,"thompson Beta(5,5)",20024,0.9397,16.470962953426998
10,10000,"thompson Beta(5,5)",20025,0.6427,111.09085749668911
10,10000,"thompson Beta(5,5)",20026,0.9269,11.356683678771365
10,10000,"thompson Beta(5,5)",20027,0.5118,79.49383577281088
10,10000,"thompson Beta(5,5)",20028,0.9826,21.454533669958977
10,10000,"thompson Beta(5,5)",20029,0.9765,19.346859903804056
10,10000,ucb(c=0.003),20000,0.9028,5.823140906039869
10,10000,ucb(c=0.003),20001,0.9609,6.54155032774616
10,10000,ucb(c=0.003),20002,0.7817,1685.6538627862203
10,10000,ucb(c=0.003),20003,0.6051,2606.973532887562
